Area,Age,Sex,Year at 30 June,Value,Flags
"Upper Harbour local board area","25-29 Years","Female","2017",2520,
"Upper Harbour local board area","25-29 Years","Female","2018",2610,
"Kaipatiki local board area","25-29 Years","Female","2013",3490,
"Kaipatiki local board area","25-29 Years","Female","2014",3600,
"Kaipatiki local board area","25-29 Years","Female","2015",3820,
"Kaipatiki local board area","25-29 Years","Female","2016",4110,
"Kaipatiki local board area","25-29 Years","Female","2017",4310,
"Kaipatiki local board area","25-29 Years","Female","2018",4400,
"Devonport-Takapuna local board area","25-29 Years","Female","2013",1800,
"Devonport-Takapuna local board area","25-29 Years","Female","2014",1810,
"Devonport-Takapuna local board area","25-29 Years","Female","2015",1890,
"Devonport-Takapuna local board area","25-29 Years","Female","2016",2020,
"Devonport-Takapuna local board area","25-29 Years","Female","2017",2050,
"Devonport-Takapuna local board area","25-29 Years","Female","2018",2060,
"Henderson-Massey local board area","25-29 Years","Female","2013",4330,
"Henderson-Massey local board area","25-29 Years","Female","2014",4520,
"Henderson-Massey local board area","25-29 Years","Female","2015",4800,
"Henderson-Massey local board area","25-29 Years","Female","2016",5150,
"Henderson-Massey local board area","25-29 Years","Female","2017",5360,
"Henderson-Massey local board area","25-29 Years","Female","2018",5460,
"Waitakere Ranges local board area","25-29 Years","Female","2013",1440,
"Waitakere Ranges local board area","25-29 Years","Female","2014",1520,
"Waitakere Ranges local board area","25-29 Years","Female","2015",1620,
"Waitakere Ranges local board area","25-29 Years","Female","2016",1730,
"Waitakere Ranges local board area","25-29 Years","Female","2017",1820,
"Waitakere Ranges local board area","25-29 Years","Female","2018",1830,
"Aotea/Great Barrier local board area","25-29 Years","Female","2013",15,
"Aotea/Great Barrier local board area","25-29 Years","Female","2014",20,
"Aotea/Great Barrier local board area","25-29 Years","Female","2015",15,
"Aotea/Great Barrier local board area","25-29 Years","Female","2016",20,
"Aotea/Great Barrier local board area","25-29 Years","Female","2017",20,
"Aotea/Great Barrier local board area","25-29 Years","Female","2018",20,
"Waiheke local board area","25-29 Years","Female","2013",170,
"Waiheke local board area","25-29 Years","Female","2014",190,
"Waiheke local board area","25-29 Years","Female","2015",210,
"Waiheke local board area","25-29 Years","Female","2016",220,
"Waiheke local board area","25-29 Years","Female","2017",250,
"Waiheke local board area","25-29 Years","Female","2018",260,
"Waitemata local board area","25-29 Years","Female","2013",6200,
"Waitemata local board area","25-29 Years","Female","2014",6220,
"Waitemata local board area","25-29 Years","Female","2015",6360,
"Waitemata local board area","25-29 Years","Female","2016",6700,
"Waitemata local board area","25-29 Years","Female","2017",7100,
"Waitemata local board area","25-29 Years","Female","2018",7400,
"Whau local board area","25-29 Years","Female","2013",3010,
"Whau local board area","25-29 Years","Female","2014",3070,
"Whau local board area","25-29 Years","Female","2015",3200,
"Whau local board area","25-29 Years","Female","2016",3420,
"Whau local board area","25-29 Years","Female","2017",3600,
"Whau local board area","25-29 Years","Female","2018",3710,
"Albert-Eden local board area","25-29 Years","Female","2013",4410,
"Albert-Eden local board area","25-29 Years","Female","2014",4460,
"Albert-Eden local board area","25-29 Years","Female","2015",4650,
"Albert-Eden local board area","25-29 Years","Female","2016",4890,
"Albert-Eden local board area","25-29 Years","Female","2017",5120,
"Albert-Eden local board area","25-29 Years","Female","2018",5260,
"Puketapapa local board area","25-29 Years","Female","2013",2380,
"Puketapapa local board area","25-29 Years","Female","2014",2500,
"Puketapapa local board area","25-29 Years","Female","2015",2580,
"Puketapapa local board area","25-29 Years","Female","2016",2810,
"Puketapapa local board area","25-29 Years","Female","2017",2990,
"Puketapapa local board area","25-29 Years","Female","2018",3090,
"Orakei local board area","25-29 Years","Female","2013",2560,
"Orakei local board area","25-29 Years","Female","2014",2660,
"Orakei local board area","25-29 Years","Female","2015",2740,
"Orakei local board area","25-29 Years","Female","2016",2880,
"Orakei local board area","25-29 Years","Female","2017",2960,
"Orakei local board area","25-29 Years","Female","2018",3000,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2013",3330,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2014",3400,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2015",3530,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2016",3760,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2017",4050,
"Maungakiekie-Tamaki local board area","25-29 Years","Female","2018",4220,
"Howick local board area","25-29 Years","Female","2013",4440,
"Howick local board area","25-29 Years","Female","2014",4540,
"Howick local board area","25-29 Years","Female","2015",4700,
"Howick local board area","25-29 Years","Female","2016",4990,
"Howick local board area","25-29 Years","Female","2017",5200,
"Howick local board area","25-29 Years","Female","2018",5190,
"Mangere-Otahuhu local board area","25-29 Years","Female","2013",2900,
"Mangere-Otahuhu local board area","25-29 Years","Female","2014",2960,
"Mangere-Otahuhu local board area","25-29 Years","Female","2015",3090,
"Mangere-Otahuhu local board area","25-29 Years","Female","2016",3250,
"Mangere-Otahuhu local board area","25-29 Years","Female","2017",3440,
"Mangere-Otahuhu local board area","25-29 Years","Female","2018",3530,
"Otara-Papatoetoe local board area","25-29 Years","Female","2013",3370,
"Otara-Papatoetoe local board area","25-29 Years","Female","2014",3450,
"Otara-Papatoetoe local board area","25-29 Years","Female","2015",3690,
"Otara-Papatoetoe local board area","25-29 Years","Female","2016",4000,
"Otara-Papatoetoe local board area","25-29 Years","Female","2017",4300,
"Otara-Papatoetoe local board area","25-29 Years","Female","2018",4510,
"Manurewa local board area","25-29 Years","Female","2013",3360,
"Manurewa local board area","25-29 Years","Female","2014",3540,
"Manurewa local board area","25-29 Years","Female","2015",3790,
"Manurewa local board area","25-29 Years","Female","2016",4140,
"Manurewa local board area","25-29 Years","Female","2017",4450,
"Manurewa local board area","25-29 Years","Female","2018",4620,
"Papakura local board area","25-29 Years","Female","2013",1820,
"Papakura local board area","25-29 Years","Female","2014",2040,
"Papakura local board area","25-29 Years","Female","2015",2250,
"Papakura local board area","25-29 Years","Female","2016",2510,
"Papakura local board area","25-29 Years","Female","2017",2760,
"Papakura local board area","25-29 Years","Female","2018",2860,
"Franklin local board area","25-29 Years","Female","2013",1560,
"Franklin local board area","25-29 Years","Female","2014",1690,
"Franklin local board area","25-29 Years","Female","2015",1850,
"Franklin local board area","25-29 Years","Female","2016",1950,
"Franklin local board area","25-29 Years","Female","2017",2080,
"Franklin local board area","25-29 Years","Female","2018",2120,
"Rodney local board area","30-34 Years","Female","2013",1370,
"Rodney local board area","30-34 Years","Female","2014",1420,
"Rodney local board area","30-34 Years","Female","2015",1490,
"Rodney local board area","30-34 Years","Female","2016",1660,
"Rodney local board area","30-34 Years","Female","2017",1810,
"Rodney local board area","30-34 Years","Female","2018",1970,
"Hibiscus and Bays local board area","30-34 Years","Female","2013",2340,
"Hibiscus and Bays local board area","30-34 Years","Female","2014",2540,
"Hibiscus and Bays local board area","30-34 Years","Female","2015",2830,
"Hibiscus and Bays local board area","30-34 Years","Female","2016",3060,
"Hibiscus and Bays local board area","30-34 Years","Female","2017",3220,
"Hibiscus and Bays local board area","30-34 Years","Female","2018",3280,
"Upper Harbour local board area","30-34 Years","Female","2013",1900,
"Upper Harbour local board area","30-34 Years","Female","2014",2120,
"Upper Harbour local board area","30-34 Years","Female","2015",2310,
"Upper Harbour local board area","30-34 Years","Female","2016",2530,
"Upper Harbour local board area","30-34 Years","Female","2017",2640,
"Upper Harbour local board area","30-34 Years","Female","2018",2680,
"Kaipatiki local board area","30-34 Years","Female","2013",3850,
"Kaipatiki local board area","30-34 Years","Female","2014",3920,
"Kaipatiki local board area","30-34 Years","Female","2015",4010,
"Kaipatiki local board area","30-34 Years","Female","2016",4090,
"Kaipatiki local board area","30-34 Years","Female","2017",4200,
"Kaipatiki local board area","30-34 Years","Female","2018",4330,
"Devonport-Takapuna local board area","30-34 Years","Female","2013",1870,
"Devonport-Takapuna local board area","30-34 Years","Female","2014",1930,
"Devonport-Takapuna local board area","30-34 Years","Female","2015",1970,
"Devonport-Takapuna local board area","30-34 Years","Female","2016",1970,
"Devonport-Takapuna local board area","30-34 Years","Female","2017",2030,
"Devonport-Takapuna local board area","30-34 Years","Female","2018",2010,
"Henderson-Massey local board area","30-34 Years","Female","2013",4530,
"Henderson-Massey local board area","30-34 Years","Female","2014",4610,
"Henderson-Massey local board area","30-34 Years","Female","2015",4730,
"Henderson-Massey local board area","30-34 Years","Female","2016",4910,
"Henderson-Massey local board area","30-34 Years","Female","2017",5140,
"Henderson-Massey local board area","30-34 Years","Female","2018",5450,
"Waitakere Ranges local board area","30-34 Years","Female","2013",1780,
"Waitakere Ranges local board area","30-34 Years","Female","2014",1750,
"Waitakere Ranges local board area","30-34 Years","Female","2015",1740,
"Waitakere Ranges local board area","30-34 Years","Female","2016",1790,
"Waitakere Ranges local board area","30-34 Years","Female","2017",1860,
"Waitakere Ranges local board area","30-34 Years","Female","2018",1910,
"Aotea/Great Barrier local board area","30-34 Years","Female","2013",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2014",15,
"Aotea/Great Barrier local board area","30-34 Years","Female","2015",20,
"Aotea/Great Barrier local board area","30-34 Years","Female","2016",25,
"Aotea/Great Barrier local board area","30-34 Years","Female","2017",25,
"Aotea/Great Barrier local board area","30-34 Years","Female","2018",20,
"Waiheke local board area","30-34 Years","Female","2013",210,
"Waiheke local board area","30-34 Years","Female","2014",210,
"Waiheke local board area","30-34 Years","Female","2015",220,
"Waiheke local board area","30-34 Years","Female","2016",240,
"Waiheke local board area","30-34 Years","Female","2017",240,
"Waiheke local board area","30-34 Years","Female","2018",260,
"Waitemata local board area","30-34 Years","Female","2013",4480,
"Waitemata local board area","30-34 Years","Female","2014",4580,
"Waitemata local board area","30-34 Years","Female","2015",4730,
"Waitemata local board area","30-34 Years","Female","2016",4970,
"Waitemata local board area","30-34 Years","Female","2017",5150,
"Waitemata local board area","30-34 Years","Female","2018",5440,
"Whau local board area","30-34 Years","Female","2013",3200,
"Whau local board area","30-34 Years","Female","2014",3310,
"Whau local board area","30-34 Years","Female","2015",3380,
"Whau local board area","30-34 Years","Female","2016",3460,
"Whau local board area","30-34 Years","Female","2017",3590,
"Whau local board area","30-34 Years","Female","2018",3750,
"Albert-Eden local board area","30-34 Years","Female","2013",4160,
"Albert-Eden local board area","30-34 Years","Female","2014",4150,
"Albert-Eden local board area","30-34 Years","Female","2015",4130,
"Albert-Eden local board area","30-34 Years","Female","2016",4160,
"Albert-Eden local board area","30-34 Years","Female","2017",4270,
"Albert-Eden local board area","30-34 Years","Female","2018",4460,
"Puketapapa local board area","30-34 Years","Female","2013",2080,
"Puketapapa local board area","30-34 Years","Female","2014",2150,
"Puketapapa local board area","30-34 Years","Female","2015",2250,
"Puketapapa local board area","30-34 Years","Female","2016",2340,
"Puketapapa local board area","30-34 Years","Female","2017",2400,
"Puketapapa local board area","30-34 Years","Female","2018",2500,
"Orakei local board area","30-34 Years","Female","2013",2670,
"Orakei local board area","30-34 Years","Female","2014",2770,
"Orakei local board area","30-34 Years","Female","2015",2830,
"Orakei local board area","30-34 Years","Female","2016",2910,
"Orakei local board area","30-34 Years","Female","2017",2950,
"Orakei local board area","30-34 Years","Female","2018",2930,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2013",3480,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2014",3420,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2015",3480,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2016",3630,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2017",3710,
"Maungakiekie-Tamaki local board area","30-34 Years","Female","2018",3950,
"Howick local board area","30-34 Years","Female","2013",4720,
"Howick local board area","30-34 Years","Female","2014",4980,
"Howick local board area","30-34 Years","Female","2015",5300,
"Howick local board area","30-34 Years","Female","2016",5510,
"Howick local board area","30-34 Years","Female","2017",5520,
"Howick local board area","30-34 Years","Female","2018",5510,
"Mangere-Otahuhu local board area","30-34 Years","Female","2013",2690,
"Mangere-Otahuhu local board area","30-34 Years","Female","2014",2730,
"Mangere-Otahuhu local board area","30-34 Years","Female","2015",2790,
"Mangere-Otahuhu local board area","30-34 Years","Female","2016",2900,
"Mangere-Otahuhu local board area","30-34 Years","Female","2017",2980,
"Mangere-Otahuhu local board area","30-34 Years","Female","2018",3110,
"Otara-Papatoetoe local board area","30-34 Years","Female","2013",3030,
"Otara-Papatoetoe local board area","30-34 Years","Female","2014",3060,
"Otara-Papatoetoe local board area","30-34 Years","Female","2015",3180,
"Otara-Papatoetoe local board area","30-34 Years","Female","2016",3320,
"Otara-Papatoetoe local board area","30-34 Years","Female","2017",3470,
"Otara-Papatoetoe local board area","30-34 Years","Female","2018",3750,
"Manurewa local board area","30-34 Years","Female","2013",3180,
"Manurewa local board area","30-34 Years","Female","2014",3230,
"Manurewa local board area","30-34 Years","Female","2015",3360,
"Manurewa local board area","30-34 Years","Female","2016",3570,
"Manurewa local board area","30-34 Years","Female","2017",3740,
"Manurewa local board area","30-34 Years","Female","2018",4050,
"Papakura local board area","30-34 Years","Female","2013",1680,
"Papakura local board area","30-34 Years","Female","2014",1810,
"Papakura local board area","30-34 Years","Female","2015",1980,
"Papakura local board area","30-34 Years","Female","2016",2200,
"Papakura local board area","30-34 Years","Female","2017",2410,
"Papakura local board area","30-34 Years","Female","2018",2700,
"Franklin local board area","30-34 Years","Female","2013",1770,
"Franklin local board area","30-34 Years","Female","2014",1820,
"Franklin local board area","30-34 Years","Female","2015",1840,
"Franklin local board area","30-34 Years","Female","2016",1920,
"Franklin local board area","30-34 Years","Female","2017",2020,
"Franklin local board area","30-34 Years","Female","2018",2160,
"Rodney local board area","35-39 Years","Female","2013",1670,
"Rodney local board area","35-39 Years","Female","2014",1660,
"Rodney local board area","35-39 Years","Female","2015",1720,
"Rodney local board area","35-39 Years","Female","2016",1790,
"Rodney local board area","35-39 Years","Female","2017",1910,
"Rodney local board area","35-39 Years","Female","2018",2050,
"Hibiscus and Bays local board area","35-39 Years","Female","2013",2850,
"Hibiscus and Bays local board area","35-39 Years","Female","2014",2870,
"Hibiscus and Bays local board area","35-39 Years","Female","2015",2900,
"Hibiscus and Bays local board area","35-39 Years","Female","2016",3060,
"Hibiscus and Bays local board area","35-39 Years","Female","2017",3360,
"Hibiscus and Bays local board area","35-39 Years","Female","2018",3670,
"Upper Harbour local board area","35-39 Years","Female","2013",1860,
"Upper Harbour local board area","35-39 Years","Female","2014",1880,
"Upper Harbour local board area","35-39 Years","Female","2015",1950,
"Upper Harbour local board area","35-39 Years","Female","2016",2080,
"Upper Harbour local board area","35-39 Years","Female","2017",2330,
"Upper Harbour local board area","35-39 Years","Female","2018",2700,
"Kaipatiki local board area","35-39 Years","Female","2013",3460,
"Kaipatiki local board area","35-39 Years","Female","2014",3450,
"Kaipatiki local board area","35-39 Years","Female","2015",3460,
"Kaipatiki local board area","35-39 Years","Female","2016",3610,
"Kaipatiki local board area","35-39 Years","Female","2017",3770,
"Kaipatiki local board area","35-39 Years","Female","2018",3960,
"Devonport-Takapuna local board area","35-39 Years","Female","2013",1990,
"Devonport-Takapuna local board area","35-39 Years","Female","2014",2000,
"Devonport-Takapuna local board area","35-39 Years","Female","2015",1980,
"Devonport-Takapuna local board area","35-39 Years","Female","2016",2050,
"Devonport-Takapuna local board area","35-39 Years","Female","2017",2070,
"Devonport-Takapuna local board area","35-39 Years","Female","2018",2140,
"Henderson-Massey local board area","35-39 Years","Female","2013",4160,
"Henderson-Massey local board area","35-39 Years","Female","2014",4150,
"Henderson-Massey local board area","35-39 Years","Female","2015",4250,
"Henderson-Massey local board area","35-39 Years","Female","2016",4360,
"Henderson-Massey local board area","35-39 Years","Female","2017",4550,
"Henderson-Massey local board area","35-39 Years","Female","2018",4710,
"Waitakere Ranges local board area","35-39 Years","Female","2013",2010,
"Waitakere Ranges local board area","35-39 Years","Female","2014",1970,
"Waitakere Ranges local board area","35-39 Years","Female","2015",1990,
"Waitakere Ranges local board area","35-39 Years","Female","2016",1970,
"Waitakere Ranges local board area","35-39 Years","Female","2017",1970,
"Waitakere Ranges local board area","35-39 Years","Female","2018",2060,
"Aotea/Great Barrier local board area","35-39 Years","Female","2013",25,
"Aotea/Great Barrier local board area","35-39 Years","Female","2014",25,
"Aotea/Great Barrier local board area","35-39 Years","Female","2015",20,
"Aotea/Great Barrier local board area","35-39 Years","Female","2016",20,
"Aotea/Great Barrier local board area","35-39 Years","Female","2017",20,
"Aotea/Great Barrier local board area","35-39 Years","Female","2018",30,
"Waiheke local board area","35-39 Years","Female","2013",320,
"Waiheke local board area","35-39 Years","Female","2014",290,
"Waiheke local board area","35-39 Years","Female","2015",260,
"Waiheke local board area","35-39 Years","Female","2016",270,
"Waiheke local board area","35-39 Years","Female","2017",270,
"Waiheke local board area","35-39 Years","Female","2018",260,
"Waitemata local board area","35-39 Years","Female","2013",3010,
"Waitemata local board area","35-39 Years","Female","2014",3080,
"Waitemata local board area","35-39 Years","Female","2015",3130,
"Waitemata local board area","35-39 Years","Female","2016",3160,
"Waitemata local board area","35-39 Years","Female","2017",3190,
"Waitemata local board area","35-39 Years","Female","2018",3240,
"Whau local board area","35-39 Years","Female","2013",2730,
"Whau local board area","35-39 Years","Female","2014",2740,
"Whau local board area","35-39 Years","Female","2015",2830,
"Whau local board area","35-39 Years","Female","2016",2920,
"Whau local board area","35-39 Years","Female","2017",3030,
"Whau local board area","35-39 Years","Female","2018",3160,
"Albert-Eden local board area","35-39 Years","Female","2013",3850,
"Albert-Eden local board area","35-39 Years","Female","2014",3790,
"Albert-Eden local board area","35-39 Years","Female","2015",3750,
"Albert-Eden local board area","35-39 Years","Female","2016",3740,
"Albert-Eden local board area","35-39 Years","Female","2017",3710,
"Albert-Eden local board area","35-39 Years","Female","2018",3720,
"Puketapapa local board area","35-39 Years","Female","2013",1850,
"Puketapapa local board area","35-39 Years","Female","2014",1820,
"Puketapapa local board area","35-39 Years","Female","2015",1850,
"Puketapapa local board area","35-39 Years","Female","2016",1870,
"Puketapapa local board area","35-39 Years","Female","2017",1990,
"Puketapapa local board area","35-39 Years","Female","2018",2110,
"Orakei local board area","35-39 Years","Female","2013",2990,
"Orakei local board area","35-39 Years","Female","2014",2900,
"Orakei local board area","35-39 Years","Female","2015",2910,
"Orakei local board area","35-39 Years","Female","2016",2930,
"Orakei local board area","35-39 Years","Female","2017",3000,
"Orakei local board area","35-39 Years","Female","2018",3130,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2013",2990,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2014",3040,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2015",3050,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2016",3070,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2017",3140,
"Maungakiekie-Tamaki local board area","35-39 Years","Female","2018",3190,
"Howick local board area","35-39 Years","Female","2013",4580,
"Howick local board area","35-39 Years","Female","2014",4610,
"Howick local board area","35-39 Years","Female","2015",4780,
"Howick local board area","35-39 Years","Female","2016",5030,
"Howick local board area","35-39 Years","Female","2017",5440,
"Howick local board area","35-39 Years","Female","2018",5810,
"Mangere-Otahuhu local board area","35-39 Years","Female","2013",2410,
"Mangere-Otahuhu local board area","35-39 Years","Female","2014",2420,
"Mangere-Otahuhu local board area","35-39 Years","Female","2015",2440,
"Mangere-Otahuhu local board area","35-39 Years","Female","2016",2470,
"Mangere-Otahuhu local board area","35-39 Years","Female","2017",2560,
"Mangere-Otahuhu local board area","35-39 Years","Female","2018",2650,
"Otara-Papatoetoe local board area","35-39 Years","Female","2013",2730,
"Otara-Papatoetoe local board area","35-39 Years","Female","2014",2720,
"Otara-Papatoetoe local board area","35-39 Years","Female","2015",2780,
"Otara-Papatoetoe local board area","35-39 Years","Female","2016",2860,
"Otara-Papatoetoe local board area","35-39 Years","Female","2017",2900,
"Otara-Papatoetoe local board area","35-39 Years","Female","2018",2970,
"Manurewa local board area","35-39 Years","Female","2013",2940,
"Manurewa local board area","35-39 Years","Female","2014",2910,
"Manurewa local board area","35-39 Years","Female","2015",2950,
"Manurewa local board area","35-39 Years","Female","2016",3100,
"Manurewa local board area","35-39 Years","Female","2017",3240,
"Manurewa local board area","35-39 Years","Female","2018",3350,
"Papakura local board area","35-39 Years","Female","2013",1560,
"Papakura local board area","35-39 Years","Female","2014",1620,
"Papakura local board area","35-39 Years","Female","2015",1710,
"Papakura local board area","35-39 Years","Female","2016",1820,
"Papakura local board area","35-39 Years","Female","2017",1970,
"Papakura local board area","35-39 Years","Female","2018",2110,
"Franklin local board area","35-39 Years","Female","2013",2240,
"Franklin local board area","35-39 Years","Female","2014",2190,
"Franklin local board area","35-39 Years","Female","2015",2190,
"Franklin local board area","35-39 Years","Female","2016",2250,
"Franklin local board area","35-39 Years","Female","2017",2310,
"Franklin local board area","35-39 Years","Female","2018",2360,
"Rodney local board area","40-44 Years","Female","2013",2460,
"Rodney local board area","40-44 Years","Female","2014",2430,
"Rodney local board area","40-44 Years","Female","2015",2380,
"Rodney local board area","40-44 Years","Female","2016",2290,
"Rodney local board area","40-44 Years","Female","2017",2260,
"Rodney local board area","40-44 Years","Female","2018",2210,
"Hibiscus and Bays local board area","40-44 Years","Female","2013",3990,
"Hibiscus and Bays local board area","40-44 Years","Female","2014",3900,
"Hibiscus and Bays local board area","40-44 Years","Female","2015",3860,
"Hibiscus and Bays local board area","40-44 Years","Female","2016",3750,
"Hibiscus and Bays local board area","40-44 Years","Female","2017",3700,
"Hibiscus and Bays local board area","40-44 Years","Female","2018",3720,
"Upper Harbour local board area","40-44 Years","Female","2013",2460,
"Upper Harbour local board area","40-44 Years","Female","2014",2350,
"Upper Harbour local board area","40-44 Years","Female","2015",2320,
"Upper Harbour local board area","40-44 Years","Female","2016",2250,
"Upper Harbour local board area","40-44 Years","Female","2017",2210,
"Upper Harbour local board area","40-44 Years","Female","2018",2190,
"Kaipatiki local board area","40-44 Years","Female","2013",3470,
"Kaipatiki local board area","40-44 Years","Female","2014",3390,
"Kaipatiki local board area","40-44 Years","Female","2015",3370,
"Kaipatiki local board area","40-44 Years","Female","2016",3230,
"Kaipatiki local board area","40-44 Years","Female","2017",3190,
"Kaipatiki local board area","40-44 Years","Female","2018",3230,
"Devonport-Takapuna local board area","40-44 Years","Female","2013",2340,
"Devonport-Takapuna local board area","40-44 Years","Female","2014",2290,
"Devonport-Takapuna local board area","40-44 Years","Female","2015",2270,
"Devonport-Takapuna local board area","40-44 Years","Female","2016",2240,
"Devonport-Takapuna local board area","40-44 Years","Female","2017",2210,
"Devonport-Takapuna local board area","40-44 Years","Female","2018",2230,
"Henderson-Massey local board area","40-44 Years","Female","2013",4310,
"Henderson-Massey local board area","40-44 Years","Female","2014",4230,
"Henderson-Massey local board area","40-44 Years","Female","2015",4200,
"Henderson-Massey local board area","40-44 Years","Female","2016",4120,
"Henderson-Massey local board area","40-44 Years","Female","2017",4050,
"Henderson-Massey local board area","40-44 Years","Female","2018",4020,
"Waitakere Ranges local board area","40-44 Years","Female","2013",2270,
"Waitakere Ranges local board area","40-44 Years","Female","2014",2270,
"Waitakere Ranges local board area","40-44 Years","Female","2015",2210,
"Waitakere Ranges local board area","40-44 Years","Female","2016",2170,
"Waitakere Ranges local board area","40-44 Years","Female","2017",2120,
"Waitakere Ranges local board area","40-44 Years","Female","2018",2080,
"Aotea/Great Barrier local board area","40-44 Years","Female","2013",40,
"Aotea/Great Barrier local board area","40-44 Years","Female","2014",35,
"Aotea/Great Barrier local board area","40-44 Years","Female","2015",35,
"Aotea/Great Barrier local board area","40-44 Years","Female","2016",30,
"Aotea/Great Barrier local board area","40-44 Years","Female","2017",25,
"Aotea/Great Barrier local board area","40-44 Years","Female","2018",25,
"Waiheke local board area","40-44 Years","Female","2013",330,
"Waiheke local board area","40-44 Years","Female","2014",350,
"Waiheke local board area","40-44 Years","Female","2015",380,
"Waiheke local board area","40-44 Years","Female","2016",350,
"Waiheke local board area","40-44 Years","Female","2017",340,
"Waiheke local board area","40-44 Years","Female","2018",340,
"Waitemata local board area","40-44 Years","Female","2013",2640,
"Waitemata local board area","40-44 Years","Female","2014",2660,
"Waitemata local board area","40-44 Years","Female","2015",2680,
"Waitemata local board area","40-44 Years","Female","2016",2680,
"Waitemata local board area","40-44 Years","Female","2017",2620,
"Waitemata local board area","40-44 Years","Female","2018",2550,
"Whau local board area","40-44 Years","Female","2013",2830,
"Whau local board area","40-44 Years","Female","2014",2820,
"Whau local board area","40-44 Years","Female","2015",2750,
"Whau local board area","40-44 Years","Female","2016",2690,
"Whau local board area","40-44 Years","Female","2017",2660,
"Whau local board area","40-44 Years","Female","2018",2680,
"Albert-Eden local board area","40-44 Years","Female","2013",4250,
"Albert-Eden local board area","40-44 Years","Female","2014",4220,
"Albert-Eden local board area","40-44 Years","Female","2015",4090,
"Albert-Eden local board area","40-44 Years","Female","2016",3980,
"Albert-Eden local board area","40-44 Years","Female","2017",3850,
"Albert-Eden local board area","40-44 Years","Female","2018",3660,
"Puketapapa local board area","40-44 Years","Female","2013",2010,
"Puketapapa local board area","40-44 Years","Female","2014",2000,
"Puketapapa local board area","40-44 Years","Female","2015",1940,
"Puketapapa local board area","40-44 Years","Female","2016",1910,
"Puketapapa local board area","40-44 Years","Female","2017",1820,
"Puketapapa local board area","40-44 Years","Female","2018",1770,
"Orakei local board area","40-44 Years","Female","2013",3530,
"Orakei local board area","40-44 Years","Female","2014",3530,
"Orakei local board area","40-44 Years","Female","2015",3480,
"Orakei local board area","40-44 Years","Female","2016",3360,
"Orakei local board area","40-44 Years","Female","2017",3280,
"Orakei local board area","40-44 Years","Female","2018",3220,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2013",2750,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2014",2700,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2015",2680,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2016",2650,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2017",2650,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2018",2700,
"Howick local board area","40-44 Years","Female","2013",5620,
"Howick local board area","40-44 Years","Female","2014",5540,
"Howick local board area","40-44 Years","Female","2015",5470,
"Howick local board area","40-44 Years","Female","2016",5400,
"Howick local board area","40-44 Years","Female","2017",5320,
"Howick local board area","40-44 Years","Female","2018",5290,
"Mangere-Otahuhu local board area","40-44 Years","Female","2013",2580,
"Mangere-Otahuhu local board area","40-44 Years","Female","2014",2560,
"Mangere-Otahuhu local board area","40-44 Years","Female","2015",2500,
"Mangere-Otahuhu local board area","40-44 Years","Female","2016",2480,
"Mangere-Otahuhu local board area","40-44 Years","Female","2017",2460,
"Mangere-Otahuhu local board area","40-44 Years","Female","2018",2420,
"Otara-Papatoetoe local board area","40-44 Years","Female","2013",2670,
"Otara-Papatoetoe local board area","40-44 Years","Female","2014",2660,
"Otara-Papatoetoe local board area","40-44 Years","Female","2015",2620,
"Otara-Papatoetoe local board area","40-44 Years","Female","2016",2570,
"Otara-Papatoetoe local board area","40-44 Years","Female","2017",2570,
"Otara-Papatoetoe local board area","40-44 Years","Female","2018",2570,
"Manurewa local board area","40-44 Years","Female","2013",3050,
"Manurewa local board area","40-44 Years","Female","2014",2990,
"Manurewa local board area","40-44 Years","Female","2015",2910,
"Manurewa local board area","40-44 Years","Female","2016",2920,
"Manurewa local board area","40-44 Years","Female","2017",2890,
"Manurewa local board area","40-44 Years","Female","2018",2880,
"Papakura local board area","40-44 Years","Female","2013",1730,
"Papakura local board area","40-44 Years","Female","2014",1730,
"Papakura local board area","40-44 Years","Female","2015",1710,
"Papakura local board area","40-44 Years","Female","2016",1700,
"Papakura local board area","40-44 Years","Female","2017",1720,
"Papakura local board area","40-44 Years","Female","2018",1690,
"Franklin local board area","40-44 Years","Female","2013",2970,
